label_index,label_name,Atelectasis,Cardiomegaly,Effusion,Infiltration,Mass,Nodule,Pneumonia,Pneumothorax,Consolidation,Edema,Emphysema,Fibrosis,Pleural_Thickening,Hernia
0,Atelectasis,1.0,0.03295750216825672,0.28555941023417175,0.2815481352992194,0.06287944492627927,0.05073720728534258,0.022007805724197745,0.06136166522116219,0.10830442324371206,0.019080659150043366,0.0331743278404163,0.01940589765828274,0.04358196010407632,0.002059843885516045
1,Cardiomegaly,0.13559322033898305,1.0,0.3893844781445138,0.2127564674397859,0.03746654772524532,0.04014272970561998,0.015165031222123104,0.016057091882247992,0.058876003568242644,0.0463871543264942,0.015165031222123104,0.02096342551293488,0.0383586083853702,0.0022301516503122213
2,Effusion,0.2459843107956668,0.08152782966006723,1.0,0.30313784086664175,0.0923608516996638,0.06836010459469556,0.020265222263728053,0.0729361225252148,0.096096376540904,0.04538662682106836,0.026428838251774375,0.013914830033619723,0.06331714605902129,0.0011206574523720584
3,Infiltration,0.16136448365850628,0.029638374549521562,0.20169007083385113,1.0,0.05735056542810985,0.0769852118802038,0.03144028830620107,0.04722256741642848,0.06250776686964087,0.04970796570150367,0.02118802038026594,0.016838573381384368,0.03703243444762023,0.001366969056791351
4,Mass,0.12638919154499892,0.01830464153410329,0.21551536282414469,0.20113314447592068,1.0,0.1616910002179124,0.013946393549792983,0.071039442144258,0.1091741120069732,0.02309871431684463,0.035519721072129,0.02070167792547396,0.07779472651993899,0.004140335585094792
5,Nodule,0.09333865177502991,0.017949740725967292,0.14599122457120065,0.24710809732748304,0.14798564020741922,1.0,0.011168727562824093,0.05345033905065816,0.06741124850418827,0.020542481053051457,0.017151974471479856,0.027124052652572797,0.06721180694056642,0.0017949740725967292
6,Pneumonia,0.17365269461077845,0.0290846877673225,0.18562874251497005,0.4328485885372113,0.05474764756201882,0.04790419161676647,1.0,0.029940119760479042,0.08896492728828058,0.24208725406330198,0.01710863986313088,0.007698887938408896,0.029940119760479042,0.0025662959794696323
7,Pneumothorax,0.13466571496550084,0.008565310492505354,0.18581965262907446,0.18082322150844635,0.07756364501546514,0.06376397811087318,0.008327385201046872,1.0,0.0397335236735665,0.005948132286462051,0.13300023792529145,0.015703069236259814,0.05710206995003569,0.00023792529145848205
8,Consolidation,0.26296393787838906,0.03474598578573309,0.270860752829692,0.2648065280336931,0.13187680968675966,0.08897078178468018,0.027375625164516977,0.04395893656225323,1.0,0.03553566728086339,0.0202684917083443,0.017372992892866545,0.05369834166886023,0.0005264543300868649
9,Edema,0.09386666666666667,0.055466666666666664,0.2592,0.4266666666666667,0.05653333333333333,0.054933333333333334,0.15093333333333334,0.013333333333333334,0.072,1.0,0.0128,0.004266666666666667,0.029333333333333333,0.0016
10,Emphysema,0.15813953488372093,0.01757105943152455,0.1462532299741602,0.17622739018087855,0.08423772609819122,0.044444444444444446,0.0103359173126615,0.28888888888888886,0.03979328165374677,0.012403100775193798,1.0,0.014987080103359173,0.05839793281653747,0.0010335917312661498
11,Fibrosis,0.13065693430656936,0.034306569343065696,0.10875912408759124,0.1978102189781022,0.06934306569343066,0.09927007299270073,0.006569343065693431,0.04817518248175182,0.04817518248175182,0.00583941605839416,0.021167883211678833,1.0,0.1072992700729927,0.0021897810218978104
12,Pleural_Thickening,0.14660831509846828,0.031363967906637494,0.24726477024070023,0.21735959153902262,0.1301969365426696,0.12290299051787017,0.012764405543398978,0.087527352297593,0.07439824945295405,0.020058351568198397,0.0412107950401167,0.053610503282275714,1.0,0.0014587892049598833
13,Hernia,0.12025316455696203,0.03164556962025317,0.0759493670886076,0.13924050632911392,0.12025316455696203,0.056962025316455694,0.0189873417721519,0.006329113924050633,0.012658227848101266,0.0189873417721519,0.012658227848101266,0.0189873417721519,0.02531645569620253,1.0
